,qv.list,lambda2.list,ans.list,nzo.list,time.list,,qv.list,lambda2.list,ans.list,nzo.list,time.list
arcene (n=100 p=10000),,,,,,,,,,,
,0.5,5,29.5,491.9,220.3392,,0.5,0.1,29.15,164.85,112.22617
,1,10,27.5,928.3,52.903,,1,0.1,29.45,173.28,46.53214
,2,0.1,28,127.7,23.482,,2,0.1,28.5,162.16,28.44578
,5,1,27,475.2,26.2472,,5,10,29.3,1532.27,46.18616
breast (n=42 p=22283),,,,,,,,,,,
,0.5,0.1,20,9.9,42.9271,,0.5,0.01,17.5,11.97,37.39714
,1,1.00E-04,17.5,7.7,7.5432,,1,0.01,16.75,12.69,9.41013
,2,1.00E-04,18.75,8.2,6.7561,,2,0.1,16.75,16.62,11.00533
,5,1.00E-04,21.25,8.4,8.2275,,5,0.1,16.625,20.38,12.76351
colon (n=62 p=2000),,,,,,,,,,,
,0.5,1,13.33333333,21.7,38.5592,,0.5,1,15.41666667,24.78,40.99662
,1,1,12.5,28.3,10.0565,,1,1,14.91666667,32.54,10.60695
,2,5,11.66666667,126.4,5.5468,,2,1,13.5,37.36,6.61215
,5,1,10.83333333,38.9,5.0327,,5,1,13,43.25,5.29983
leuk (n=72 p=7128),,,,,,,,,,,
,0.5,1,4.285714286,66,119.2254,,0.5,5,4.571428571,204.5,197.11529
,1,1,3.571428571,72.9,26.8019,,1,5,4.285714286,221.31,65.31193
,2,1,2.857142857,97,14.2926,,2,5,3.785714286,242.13,45.98913
,5,5,2.142857143,358.4,15.023,,5,5,3.5,189.86,31.1023
prostate (n=102 p=6033),,,,,,,,,,,
,0.5,1,4.5,29.9,23.4195,,0.5,1,8.5,19.17,29.45998
,1,1,4.5,78.3,7.3307,,1,1,8.05,33.71,12.90519
,2,1,5,89.4,5.6577,,2,1,7.7,36.43,7.02164
,5,5,4.5,151.8,7.6332,,5,1,8.3,33.92,7.35206
australian (n=690 p=14),,,,,,,,,,,
,0.5,0.001,15.2173913,5.5,12.5047,,0.5,0.001,14.65942029,4.88,25.98211
,1,1,15.2173913,5.5,0.2206,,1,1,14.55797101,5.87,0.506
,2,1,14.7826087,6.7,0.2276,,2,1,14.10869565,6.55,0.6081
,5,1,14.92753623,8.9,0.3259,,5,1,14.43478261,7.98,0.87589
chess (n=3196 p=36),,,,,,,,,,,
,0.5,1.00E-04,2.926447574,30.2,2160.3698,,0.5,1.00E-04,2.748043818,30.9,1844.02354
,1,1.00E-04,3.082942097,31.3,957.744,,1,1.00E-04,2.849765258,32.38,517.8376
,2,1.00E-04,3.082942097,32.9,809.671,,2,1.00E-04,2.92801252,32.6,398.57471
,5,1.00E-04,3.364632238,32.8,980.3635,,5,1.00E-04,3.051643192,32.74,558.89649
german (n=1000 p=24),,,,,,,,,,,
,0.5,1.00E-04,23.35,17.1,11.5317,,0.5,0.01,24.955,16.69,7.95171
