"","qv.list","lambda2.list","ans.list","nzo.list","time.list","","qv.list","lambda2.list","ans.list","nzo.list","time.list"
"1",0.5,5,29.5,491.9,220.3392,NA,0.5,0.1,29.15,164.85,112.22617
"2",1,10,27.5,928.3,52.903,NA,1,0.1,29.45,173.28,46.53214
"3",2,0.1,28,127.7,23.482,NA,2,0.1,28.5,162.16,28.4457799999999
"4",5,1,27,475.2,26.2472,NA,5,10,29.3,1532.27,46.1861600000001
"5",0.5,0.1,20,9.9,42.9271000000001,NA,0.5,0.01,17.5,11.97,37.3971400000001
"6",1,1e-04,17.5,7.7,7.54319999999999,NA,1,0.01,16.75,12.69,9.41013000000005
"7",2,1e-04,18.75,8.2,6.75610000000001,NA,2,0.1,16.75,16.62,11.00533
"8",5,1e-04,21.25,8.4,8.2275,NA,5,0.1,16.625,20.38,12.76351
"9",0.5,1,13.3333333333333,21.7,38.5592,NA,0.5,1,15.4166666666667,24.78,40.99662
"10",1,1,12.5,28.3,10.0565,NA,1,1,14.9166666666667,32.54,10.60695
"11",2,5,11.6666666666667,126.4,5.5468,NA,2,1,13.5,37.36,6.61215
"12",5,1,10.8333333333333,38.9,5.0327,NA,5,1,13,43.25,5.29982999999999
"13",0.5,1,4.28571428571429,66,119.2254,NA,0.5,5,4.57142857142857,204.5,197.11529
"14",1,1,3.57142857142857,72.9,26.8019,NA,1,5,4.28571428571429,221.31,65.3119299999999
"15",2,1,2.85714285714286,97,14.2926,NA,2,5,3.78571428571429,242.13,45.9891299999999
"16",5,5,2.14285714285714,358.4,15.023,NA,5,5,3.5,189.86,31.1023
"17",0.5,1,4.5,29.9,23.4195,NA,0.5,1,8.5,19.17,29.45998
"18",1,1,4.5,78.3,7.3307,NA,1,1,8.05,33.71,12.90519
"19",2,1,5,89.4,5.6577,NA,2,1,7.7,36.43,7.02163999999997
"20",5,5,4.5,151.8,7.6332,NA,5,1,8.3,33.92,7.35205999999999
"21",0.5,0.001,15.2173913043478,5.5,12.5047,NA,0.5,0.001,14.6594202898551,4.88,25.98211
"22",1,1,15.2173913043478,5.5,0.220599999999998,NA,1,1,14.5579710144928,5.87,0.505999999999991
"23",2,1,14.7826086956522,6.7,0.227599999999999,NA,2,1,14.1086956521739,6.55,0.608100000000006
"24",5,1,14.9275362318841,8.9,0.325900000000002,NA,5,1,14.4347826086957,7.98,0.875889999999988
"25",0.5,1e-04,2.9264475743349,30.2,2160.3698,NA,0.5,1e-04,2.74804381846635,30.9,1844.02354
"26",1,1e-04,3.0829420970266,31.3,957.744,NA,1,1e-04,2.84976525821596,32.38,517.8376
"27",2,1e-04,3.0829420970266,32.9,809.671,NA,2,1e-04,2.92801251956182,32.6,398.57471
"28",5,1e-04,3.36463223787167,32.8,980.3635,NA,5,1e-04,3.05164319248826,32.74,558.89649
"29",0.5,1e-04,23.35,17.1,11.5317,NA,0.5,0.01,24.955,16.69,7.95170999999998
"30",1,0.01,23.5,17.1,6.0305,NA,1,0.001,24.83,17.01,7.10237999999999
"31",2,0.001,23.4,18.1,7.7879,NA,2,0.001,24.72,17.83,7.58074000000001
"32",5,0.001,23.2,18.9,10.8546,NA,5,0.001,24.785,19.03,10.9134
"33",0.5,1e-04,50.6198347107438,2.4,116.231,NA,0.5,0.1,51.7066115702479,1.62,5.37880999999992
"34",1,0.01,50.702479338843,0,8.82399999999998,NA,1,10,51.7438016528926,2.44,4.43850000000012
"35",2,1e-04,50.702479338843,3.7,113.1307,NA,2,0.1,51.702479338843,1.45,6.41135000000001
"36",5,1e-04,50.5785123966942,5,144.9388,NA,5,0.01,51.6280991735537,1.84,31.9661500000002
"37",0.5,0.001,10.5714285714286,19.4,119.4895,NA,0.5,0.01,7.82857142857143,24.88,34.94412
"38",1,0.01,10.1428571428571,34,41.142,NA,1,0.1,7.72857142857143,53.6,14.6061200000001
"39",2,0.01,9.42857142857143,32.4,45.1247,NA,2,0.1,7.75714285714286,56.72,12.4355900000001
"40",5,0.01,10.1428571428571,32,65.118,NA,5,0.1,7.77142857142857,58.7,16.3161900000002
"41",0.5,0.1,39.625,2,53.4495000000001,NA,0.5,0.01,38.82,2.08,276.54483
